Cve_Entidad,Desc_Entidad,Cve_Municipio,Desc_municipio,Tema_nivel_1,Tema_nivel_2,Tema_nivel_3,Id_Indicador,Indicador,1900,1910,1921,1930,1940,1950,1952,1960,1970,1971,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,UnidadMedida
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000759,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (en suspensión),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpetas de investigación
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000760,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (no especificado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpetas de investigación
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000804,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,272,241,255,249,,Averiguaciones previas e investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000805,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes (sin especificar la presentación o no del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,Averiguaciones previas e investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000806,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes (con presentación del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,103,161,,,Averiguaciones previas e investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000807,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes (sin presentación del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,138,94,,,Averiguaciones previas e investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000850,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,73,453,327,,,Averiguaciones previas e investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000851,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (con improcedencia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,27,374,140,127,,Averiguaciones previas e investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000852,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (con otro tipo de determinación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,7,0,6,,Averiguaciones previas e investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000853,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (con procedencia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,32,53,112,54,,Averiguaciones previas e investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000854,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (en archivo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,19,75,34,,Averiguaciones previas e investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000898,Investigaciones cerradas por los ministerios públicos especializados en adolescentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,73,0,0,,,Investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000899,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (conciliación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,Investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000900,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (formulación de acusación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,32,0,0,,,Investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000901,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (otro tipo de cierre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,Investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000902,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (sobreseimiento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,27,0,0,,,Investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000903,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (suspensión),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,,,Investigaciones
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009545,Porcentaje de resolución en averiguaciones previas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6819595645412,30.4826371691156,96.0575386254662,88.4437991117185,,,Porcentaje de averiguaciones previas determinadas
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009548,Porcentaje de resolución en averiguaciones previas para extorsión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55737704918033,4,39.7435897435897,26.8292682926829,,,Porcentaje de averiguaciones previas determinadas
03,Baja California Sur,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009550,Porcentaje de resolución en averiguaciones previas para secuestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,,0,,,Porcentaje de averiguaciones previas determinadas
